iteration,silhouetteCluster1,silhouetteCluster2,numPointsCluster1,numPointsCluster2,overallSilhouette
1101,0.999626,0.999738,50,50,0.999682
1103,0.999624,0.999745,50,50,0.999684
1105,0.99963,0.999748,50,50,0.999689
1107,0.999614,0.999747,50,50,0.99968
1109,0.999615,0.999749,50,50,0.999682
1111,0.999615,0.999743,50,50,0.999679
1113,0.999625,0.999744,50,50,0.999684
1115,0.999627,0.999753,50,50,0.99969
1117,0.999623,0.999757,50,50,0.99969
1119,0.999623,0.999758,50,50,0.999691
1121,0.999632,0.999758,50,50,0.999695
1123,0.999632,0.999775,50,50,0.999704
1125,0.999633,0.999775,50,50,0.999704
1127,0.999631,0.999774,50,50,0.999703
1129,0.999641,0.999778,50,50,0.999709
1131,0.999643,0.999774,50,50,0.999708
1133,0.999637,0.99977,50,50,0.999704
1135,0.999642,0.999775,50,50,0.999708
1137,0.999635,0.999773,50,50,0.999704
1139,0.999632,0.999765,50,50,0.999699
1141,0.999635,0.999752,50,50,0.999694
1143,0.999634,0.999757,50,50,0.999696
1145,0.999642,0.999762,50,50,0.999702
1147,0.999645,0.999762,50,50,0.999703
1149,0.999644,0.999758,50,50,0.999701
1151,0.999644,0.999758,50,50,0.999701
1153,0.999647,0.999767,50,50,0.999707
1155,0.999651,0.999758,50,50,0.999704
1157,0.999655,0.999757,50,50,0.999706
1159,0.999651,0.999759,50,50,0.999705
1161,0.999632,0.999759,50,50,0.999696
1163,0.999631,0.99976,50,50,0.999695
1165,0.99963,0.99976,50,50,0.999695
1167,0.99963,0.999759,50,50,0.999695
1169,0.999634,0.999758,50,50,0.999696
1171,0.999636,0.999755,50,50,0.999696
1173,0.999645,0.999761,50,50,0.999703
1175,0.999646,0.999758,50,50,0.999702
1177,0.999646,0.999756,50,50,0.999701
1179,0.99965,0.999751,50,50,0.9997
1181,0.99965,0.999756,50,50,0.999703
1183,0.999648,0.999748,50,50,0.999698
1185,0.999648,0.999758,50,50,0.999703
1187,0.999658,0.999756,50,50,0.999707
1189,0.999655,0.999751,50,50,0.999703
1191,0.999649,0.999751,50,50,0.9997
1193,0.999649,0.999741,50,50,0.999695
1195,0.999648,0.999735,50,50,0.999692
1197,0.999653,0.999734,50,50,0.999693
1199,0.99967,0.999733,50,50,0.999701
1201,0.99967,0.999736,50,50,0.999703
1203,0.999673,0.999744,50,50,0.999709
1205,0.999664,0.999746,50,50,0.999705
1207,0.999678,0.999748,50,50,0.999713
1209,0.999683,0.999746,50,50,0.999715
1211,0.999679,0.999747,50,50,0.999713
1213,0.999679,0.999749,50,50,0.999714
1215,0.999676,0.999751,50,50,0.999714
1217,0.999677,0.999747,50,50,0.999712
1219,0.999666,0.999746,50,50,0.999706
1221,0.999673,0.999742,50,50,0.999707
1223,0.999673,0.99974,50,50,0.999707
1225,0.999667,0.999733,50,50,0.9997
1227,0.999663,0.999737,50,50,0.9997
1229,0.999661,0.999737,50,50,0.999699
1231,0.999662,0.999724,50,50,0.999693
1233,0.999666,0.999728,50,50,0.999697
1235,0.999662,0.999724,50,50,0.999693
1237,0.999676,0.999724,50,50,0.9997
1239,0.999662,0.999726,50,50,0.999694
1241,0.999662,0.999738,50,50,0.9997
1243,0.999675,0.999738,50,50,0.999706
1245,0.999674,0.999726,50,50,0.9997
1247,0.999672,0.999728,50,50,0.9997
1249,0.999677,0.999732,50,50,0.999705
1251,0.999677,0.999733,50,50,0.999705
1253,0.999676,0.999733,50,50,0.999705
1255,0.999678,0.999731,50,50,0.999704
1257,0.99967,0.999728,50,50,0.999699
1259,0.999677,0.999729,50,50,0.999703
1261,0.999699,0.999719,50,50,0.999709
1263,0.999699,0.999719,50,50,0.999709
1265,0.999704,0.999719,50,50,0.999711
1267,0.999688,0.99972,50,50,0.999704
1269,0.999674,0.999721,50,50,0.999697
1271,0.999673,0.999723,50,50,0.999698
1273,0.999674,0.999724,50,50,0.999699
1275,0.999676,0.999726,50,50,0.999701
1277,0.999676,0.999728,50,50,0.999702
1279,0.999665,0.999731,50,50,0.999698
1281,0.999665,0.999731,50,50,0.999698
1283,0.999657,0.999728,50,50,0.999693
1285,0.999658,0.999731,50,50,0.999694
1287,0.999647,0.999733,50,50,0.99969
1289,0.999655,0.999736,50,50,0.999695
